id;qubit;depth;reads;cov
284;39.8;595;68464;98.662
285;44.2;1132;122984;99.595
286;32.8;328;33361;95.265
287;22.2;170;17581;89.436
288;29.2;214;23596;93.954
289;23.6;280;31999;94.318
290;25.8;216;21830;89.663
291;28.8;179;17437;85.797
292;39;256;27915;93.302
293;27.8;354;35639;96.141
294;25.4;300;31247;93.011
295;34.4;730;76304;98.743
296;24.4;470;50106;93.302
297;34.6;1517;169821;98.743
298;20.4;506;54792;94.378
299;31.4;714;77106;95.987
300;44.8;810;77781;99.595
301;27.8;725;78736;95.903
302;16.9;644;77699;98.014
303;40;319;29833;93.977
304;15.3;132;36343;56.162
305;30.6;378;37445;94.549
306;30;459;45972;93.954
307;46.2;1159;118837;98.743
308;34.2;933;105560;97.726
309;11.2;748;60312;97.02
310;13.2;83;6821;77.25
311;14.1;1124;87994;97.91
312;12.7;359.6;28197;96.88
313;14.1;446.8;34524;97.95
314;8.97;250.6;19406;97.02
315;8.92;258.5;20058;97.02
316;5.32;75.84;5862;44.37
317;6.72;94.3;7425;47.34
318;3.83;3.2;259;1.094
319;19.1;406.9;31434;97.95
320;17.8;348.3;27716;95.97
321;28.1;97;7688;89.76
322;18.3;297.4;24336;97.95
323;14.8;227.5;18235;97.82
324;14.2;93.56;7887;88.717
325;32.9;939.51;74739;98.679
326;57.3;887.8;70008;99.595
327;60.8;197.97;16162;97.93
328;16.7;13.9;1156;14.029
329;35.6;168.97;13328;62.847
330;12.2;4527.92;355600;98.662
331;31.6;602.79;48600;97.95
332;20.8;5856.09;455228;98.679
333;67;2351.95;186672;98.679
334;38.4;1867.11;147256;98.679
335;94;1793.43;142662;99.595
336;45.2;888.91;71405;96.104
337;60.2;1336.22;105688;98.679
338;45.4;442.82;35478;97.686
339;58;70.1;5910;76.751
340;72.2;366.65;29651;98.679
341;4.44;733.19;57842;98.676
342;49.2;303.48;24670;96.826
343;19.7;158.73;13214;96.154
344;35.8;288.83;23276;98.662
345;68.8;1315.67;103484;98.679
346;26.8;285.69;23082;96.061
347;22.8;592.32;47574;96.964
348;42.2;2622.9;206472;99.595
349;46.2;2094.69;165094;99.595
350;28.4;2071.93;161903;98.662
351;40.4;403.6;32200;98.866
352;66.6;802.19;63944;97.82
353;49.8;2148.37;170538;96.964
354;63.8;2056.56;161420;98.679
355;39.8;2078.87;164998;96.094
356;63.4;692.88;54612;98.679
357;44.4;173.05;13862;94.098
358;58.8;625.04;49632;98.679
359;31.2;1008.94;79542;99.595
360;2.36;508.24;40074;96.826
361;67.2;285.52;22967;93.516
362;3.84;692.26;54468;98.662
363;3.74;799.84;63638;98.679
364;11.6;111.34;8998;76.845
365;18.7;344.06;27284;97.743
366;8.32;626.88;49560;99.595
367;27.2;334.24;26834;96.248
368;2.52;1134.31;88488;99.595
369;6.44;1155.22;90262;98.669
370;6.26;617.71;48586;98.679
371;3.54;1358.85;105910;98.679
372;7.2;496.32;39194;98.669
373;1.74;1124.14;87920;99.595
374;14.7;548.02;43054;98.679
375;7.3;324.45;25616;94.957
376;13.3;652.79;50788;98.679
377;19.8;469.03;37168;98.679
378;28.6;422.87;33372;98.669
379;26.6;835.19;65502;98.679
380;6.66;408.26;32252;98.679
381;10.5;1267.69;98930;98.679
382;9.72;1654.08;126676;95.265
383;2.16;1038.53;81456;97.82
384;8.3;326.58;25958;98.679
385;7.12;367.91;29046;92.342
386;12;943.23;74192;98.679
387;6.28;513.25;40332;98.679
388;5.6;1346.31;105100;98.679
389;26.6;1070.87;83630;96.977
390;2.02;945.06;73956;99.595
391;16.5;1278.33;99622;98.679
392;8.46;508.63;40044;96.833
393;30.8;1016.28;79254;99.595
394;9.24;394.1;31170;97.686
395;3.96;833.53;65338;98.679
396;43.2;429.88;33854;95.067
397;5.52;1143.5;88990;97.82
398;3.84;1238.06;95976;98.662
399;2.5;431.73;34292;97.111
400;1.79;443.61;34646;95.974
401;2.6;822.65;64532;98.662
402;1.76;885.02;69332;98.679
403;4.52;519.15;41300;97.241
404;3.36;443.87;34946;98.679
405;7.22;1397.28;108050;98.679
406;2.46;1192.24;92514;99.595
407;2.38;1124.92;87744;98.679
408;6.28;692.88;54612;98.669
409;2.02;1860.62;144434;98.679
410;5.06;938.68;73872;97.82
411;7.62;995.24;77772;97.793
412;1.83;868.43;68224;98.679
413;1.46;694.34;54972;98.679
414;1.43;564.52;44692;99.595
415;1.6;615.2;48526;98.679
416;2.58;697.33;54868;98.679
417;7.52;258;22622;95.97
418;4.7;65;6044;84.67
419;10.2;135;12172;95.79
420;16;263;22861;97.82
421;12.5;435;37379;97.82
422;12.3;539;44356;97.97
423;9.82;370;33444;97.82
424;2.36;24;1987;48.48
425;18.4;299;24582;97.95
426;19;507;61449;74.31
427;3.1;115;2761;97.82
428;46;231;18142;95.067
429;9.98;36.5;2914;64.077
430;12.2;81.9;6842;83.176
431;14.5;94.45;8118;86.65
432;21.4;71.3;5599;79.286
433;14.7;74.5;6091;84.921
434;28.2;355;28126;96.097
435;14.7;83;6567;81.213
436;60.2;407;31571;98.679
437;64.4;423;32915;99.595
438;58;281;21761;97.95
439;55;724;55994;98.676
440;17.4;485;38864;97.02
441;21.4;111;9171;87.958
442;38.4;324;25467;97.02
443;9.84;326;26216;97.95
444;33;488;38398;98.679
445;42.2;515;40288;98.679
446;55;622;47961;98.679
447;12.4;150;12098;93.338
448;68.6;372;28790;96.382
449;29.6;371;29092;95.99
450;65.6;488;37786;97.104
451;66;452;35021;98.679
452;30.4;423;33277;97.686
453;58.4;618;47510;97.84
454;62.4;528;40885;97.786
455;74.2;745;57322;98.679
456;52.8;269;20929;96.957
457;51.8;516;39774;98.679
458;6.42;99;7817;82.895
459;78.4;467;36214;98.679
460;28.6;161;12945;90.7
461;19.2;384;30448;97.82
462;58.2;452;34949;96.957
463;12.6;296;24090;96.927
464;17.9;206;16424;94.445
465;28;48;3769;66.227
466;18.2;172;13652;93.486
467;6.6;34;2690;58.309
468;25.6;658;50862;97.826
469;24.4;362;29146;98.679
470;10.8;111;8706;84.262
471;26.8;269;21322;96.833
472;20.2;242;19585;96.104
473;27;614;47623;97.95
474;34.2;787;60929;97.82
475;36.8;665;51573;96.318
476;17.5;702;55413;82.119
477;20.2;715;56536;79.932
478;32.6;426;33543;91.539
479;27.4;330;25963;93.054
480;23.8;555;43721;94.88
481;40.4;965;74748;95.813
482;42.2;869;66713;97.693
483;12.6;233;19233;83.714
484;54.4;210;16385;93.328
485;52;337;26245;97.95
486;55.8;254;19900;95.131
487;58.4;247;19336;95.198
488;46;281;21886;96.957
489;32.4;166.0684881;13413;96.02
490;32.2;181.0836371;15957;96.007
491;42.2;169.0075912;14538;92.606
